id товара;осн. артикул;цена;наличие;статус;доп. артикул;штрихкод;ррц
4662;;58;4;;;;;
4670;;0;0;;;;;
5503;;422;1;;;;;
442;;2003;1;;;;;
6511;;1290;2;;;;;
4712;;0;0;;;;;
4721;;798;4;;;;;
6604;;0;0;;;;;
4998;;0;0;;;;;
5293;;3298;2;;;;;
4943;;1783;3;;;;;
2435;;1264;6;;;;;
2267;;0;0;;;;;
2265;;266;15;;;;;
2277;;420;9;;;;;
2280;;414;7;;;;;
2283;;573;16;;;;;
3359;;0;0;;;;;
4730;;0;0;;;;;
4733;;0;0;;;;;
4682;;0;0;;;;;
4729;;0;0;;;;;
4731;;4780;2;;;;;
4686;;0;0;;;;;
4680;;3036;2;;;;;
4683;;0;0;;;;;
4684;;0;0;;;;;
4685;;4722;3;;;;;
4690;;0;0;;;;;
4691;;1533;1;;;;;
4732;;0;0;;;;;
4772;;0;0;;;;;
5814;;0;0;;;;;
3337;;0;0;;;;;
4571;;447;1;;;;;
4578;;266;1;;;;;
4579;;212;2;;;;;
4603;;0;0;;;;;
4762;;4137;1;;;;;
4767;;0;0;;;;;
4740;;1199;2;;;;;
4748;;2441;1;;;;;
4749;;891;9;;;;;
4758;;696;4;;;;;
2436;;2419;3;;;;;
4875;;0;0;;;;;
195;;2804;2;;;;;
416;;4521;4;;;;;
4936;;0;0;;;;;
5195;;0;0;;;;;
322;;1588;2;;;;;
377;;0;0;;;;;
4752;;1049;9;;;;;
4786;;7721;1;;;;;
4789;;0;0;;;;;
4788;;0;0;;;;;
4799;;0;0;;;;;
4803;;1460;2;;;;;
4800;;1843;2;;;;;
6895;;0;0;;;;;
5031;;0;0;;;;;
5603;;0;0;;;;;
5602;;0;0;;;;;
5065;;0;0;;;;;
4805;;1868;1;;;;;
6889;;0;0;;;;;
4908;;0;0;;;;3778;
5772;;0;0;;;;;
4839;;783;7;;;;;
2446;;2059;1;;;;;
5249;;3190;10;;;;;
4819;;0;0;;;;;
4818;;0;0;;;;;
2529;;1278;11;;;;;
5554;;0;0;;;;;
5861;;0;0;;;;;
2440;;2024;1;;;;;
2452;;2031;9;;;;;
2437;;1973;2;;;;;
2439;;1281;4;;;;;
4874;;0;0;;;;;
4880;;0;0;;;;;
4871;;1304;19;;;;;
3927;;0;0;;;;;
4873;;0;0;;;;;
4872;;0;0;;;;;
4884;;0;0;;;;;
4885;;0;0;;;;;
4883;;0;0;;;;;
4877;;0;0;;;;;
4876;;0;0;;;;;
4878;;0;0;;;;;
4882;;0;0;;;;;
4881;;0;0;;;;;
4879;;0;0;;;;;
4999;;0;0;;;;;
4891;;0;0;;;;;
4890;;4389;6;;;;;
6322;;0;0;;;;;
4865;;0;0;;;;;
4897;;2858;2;;;;;
5343;;0;0;;;;;
411;;5601;1;;;;;
6729;;194;10;;;;;
5179;;4152;8;;;;;
6505;;1247;1;;;;;
4977;;798;3;;;;;
4919;;0;0;;;;;
5813;;0;0;;;;;
3257;;0;0;;;;;
6509;;1075;2;;;;;
5604;;0;0;;;;;
4924;;1400;1;;;;;
5810;;0;0;;;;;
4923;;0;0;;;;;
70;;0;0;;;;;
443;;9424;8;;;;;
6586;;1252;1;;;;;
5773;;1345;1;;;;;
5613;;118;2;;;;;
4961;;1421;7;;;;;
2630;;2454;3;;;;;
1855;;814;1;;;;;
5667;;0;0;;;;;
4944;;3237;1;;;;;
5806;;0;0;;;;;
5019;;8454;1;;;;;
728;;1615;4;;;;;
6227;;0;0;;;;;
3332;;0;0;;;;;
441;;0;0;;;;;
5605;;0;0;;;;;
306;;11924;2;;;;;
5654;;0;0;;;;;
5235;;0;0;;;;;
6556;;0;0;;;;;
1951;;0;0;;;;;
1985;;1168;1;;;;;
6507;;1279;3;;;;;
205;;1461;5;;;;;
713;;7539;1;;;;;
5042;;0;0;;;;;
5385;;8522;4;;;;;
5504;;320;2;;;;;
5227;;8937;2;;;;;
5508;;0;0;;;;;
6785;;755;4;;;;;
6564;;0;0;;;;;
5244;;0;0;;;;;
138;;1257;3;;;;;
5393;;1642;2;;;;;
5395;;970;1;;;;;
5398;;1290;5;;;;;
5510;;0;0;;;;;
6233;;77;5;;;;;
5511;;0;0;;;;;
5502;;385;4;;;;;
2303;;37;49;;;;;
5501;;0;0;;;;;
2049;;0;0;;;;;
5509;;0;0;;;;;
5040;;0;0;;;;;
5606;;0;0;;;;;
5612;;118;2;;;;;
5611;;118;3;;;;;
5058;;0;0;;;;;
6553;;0;0;;;;;
5655;;1891;1;;;;3600;
5663;;0;0;;;;;
5298;;0;0;;;;;
5668;;0;0;;;;;
5669;;0;0;;;;;
5670;;0;0;;;;;
5671;;0;0;;;;;
5697;;697;1;;;;;
5698;;0;0;;;;;
5696;;1068;1;;;;;
5220;;0;0;;;;;
2163;;0;0;;;;;
5136;;10825;1;;;;;
5809;;0;0;;;;;
5068;;0;0;;;;;
3267;;2106;1;;;;;
5050;;1793;10;;;;;
5108;;0;0;;;;;
5111;;6395;1;;;;;
5252;;0;0;;;;;
2717;;10121;1;;;;;
5041;;928;4;;;;;
5197;;0;0;;;;;
5262;;4152;1;;;;;
5163;;0;0;;;;;
5219;;0;0;;;;;
5356;;0;0;;;;;
5243;;1067;4;;;;;
5273;;335;8;;;;;
5080;;0;0;;;;;
5192;;0;0;;;;;
5733;;0;0;;;;;
5732;;0;0;;;;;
5238;;0;0;;;;;
5291;;3861;1;;;;;
5292;;0;0;;;;;
5295;;650;30;;;;;
5060;;783;1;;;;;
5301;;663;1;;;;;
5738;;0;0;;;;;
5739;;0;0;;;;;
5191;;4226;1;;;;;
5336;;0;0;;;;;
5155;;728;9;;;;;
2877;;0;0;;;;;
6508;;945;1;;;;;
5140;;0;0;;;;;
5141;;0;0;;;;;
5145;;0;0;;;;;
5748;;0;0;;;;3070;
6788;;0;0;;;;;
5771;;0;0;;;;;
5744;;999999;1;;;;;
5860;;0;0;;;;;
5176;;0;0;;;;;
5157;;0;0;;;;;
5062;;1392;5;;;;;
5158;;0;0;;;;;
5175;;0;0;;;;;
5167;;1521;3;;;;;
5325;;0;0;;;;;
5239;;1392;11;;;;;
5255;;2248;1;;;;;
5353;;1416;2;;;;;
5818;;0;0;;;;;
6230;;77;2;;;;;
5862;;0;0;;;;;
6730;;218;6;;;;;
5865;;0;0;;;;;
5864;;0;0;;;;;
5863;;0;0;;;;;
5800;;0;0;;;;;
6807;;0;0;;;;;
5803;;0;0;;;;;
5808;;0;0;;;;;
5873;;0;0;;;;;
5868;;0;0;;;;;
5874;;118;3;;;;;
5811;;0;0;;;;;
5815;;0;0;;;;;
5817;;0;0;;;;;
5816;;1398;2;;;;;
5804;;0;0;;;;;
5822;;0;0;;;;;
5819;;0;0;;;;;
5825;;0;0;;;;;
5823;;0;0;;;;;
5820;;0;0;;;;;
5906;;2871;1;;;;;
5911;;0;0;;;;;
5912;;2549;1;;;;;
6502;;1290;1;;;;;
5948;;2608;1;;;;;
5939;;0;0;;;;;
5972;;0;0;;;;3998;
5971;;0;0;;;;3778;
6002;;2527;2;;;;;
6021;;1233;1;;;;;
6084;;704;12;;;;;
6091;;0;0;;;;;
6275;;0;0;;;;;
6561;;0;0;;;;;
6551;;0;0;;;;;
6043;;0;0;;;;;
6567;;1891;1;;;;;
6229;;77;5;;;;;
6547;;1334;4;;;;;
6231;;0;0;;;;;
6361;;0;0;;;;;
6197;;1192;1;;;;;
6255;;0;0;;;;;
6206;;0;0;;;;;
6781;;919;7;;;;;
6786;;0;0;;;;;
6271;;0;0;;;;;
6254;;0;0;;;;;
6150;;0;0;;;;;
6154;;536;3;;;;;
6152;;0;0;;;;;
6153;;353;5;;;;;
6151;;362;5;;;;;
6232;;0;0;;;;;
6164;;1407;3;;;;;
6166;;996;1;;;;;
6161;;1269;1;;;;;
6144;;1279;1;;;;;
6148;;0;0;;;;;
6167;;1261;3;;;;;
6138;;1070;1;;;;;
6146;;0;0;;;;;
6140;;1325;4;;;;;
6165;;1269;1;;;;;
6143;;1304;1;;;;;
6136;;1328;1;;;;;
6132;;0;0;;;;;
6142;;1075;5;;;;;
6133;;1402;2;;;;;
6135;;1169;3;;;;;
6137;;1313;2;;;;;
6134;;1290;3;;;;;
6141;;0;0;;;;;
6171;;554;10;;;;;
6172;;353;5;;;;;
6174;;914;2;;;;;
6168;;2382;1;;;;;
6169;;2131;1;;;;;
6182;;411;1;;;;;
6183;;810;5;;;;;
6184;;0;0;;;;;
6190;;1009;4;;;;;
6189;;1009;3;;;;;
6226;;190;1;;;;;
6228;;224;3;;;;;
6212;;0;0;;;;;
6215;;0;0;;;;;
6213;;248;1;;;;;
6214;;0;0;;;;;
6210;;0;0;;;;;
6234;;179;2;;;;;
6211;;0;0;;;;;
6208;;210;1;;;;;
6784;;0;0;;;;;
6499;;1119;3;;;;;
6896;;656;5;;;;;
506;;1401;1;;;;;
6399;;109;10;;;;;
6400;;109;5;;;;;
6884;;0;0;;;;;
6446;;0;0;;;;;
6364;;0;0;;;;;
6387;;1328;1;;;;;
6390;;1242;4;;;;;
6406;;0;0;;;;;
6407;;1429;1;;;;;
6410;;1352;1;;;;;
6411;;1252;3;;;;;
6412;;1093;1;;;;;
6427;;0;0;;;;;
6423;;0;0;;;;;
6424;;0;0;;;;;
6425;;0;0;;;;;
6460;;1947;1;;;;;
6465;;0;0;;;;;
6470;;896;1;;;;;
6549;;0;0;;;;;
6585;;0;0;;;;;
6559;;0;0;;;;;
6552;;0;0;;;;;
6472;;0;0;;;;;
6569;;0;0;;;;;
6512;;1370;1;;;;;
6599;;0;0;;;;;
6598;;0;0;;;;;
6596;;0;0;;;;;
6615;;0;0;;;;;
6728;;250;15;;;;;
6782;;894;4;;;;;
6888;;0;0;;;;;
6727;;335;25;;;;;
6722;;0;0;;;;;
6694;;0;0;;;;;
6696;;0;0;;;;;
6693;;0;0;;;;;
6787;;0;0;;;;;
6813;;0;0;;;;4268;
6815;;0;0;;;;;
6810;;0;0;;;;;
6812;;0;0;;;;4558;
6814;;0;0;;;;4268;
5057;;0;0;;;;;
6899;;0;0;;;;;
2686;;0;0;;;;;
7046;;1310;7;;;;;
7055;;0;0;;;;;
7062;;0;0;;;;;
7671;;0;0;;;;;
10315;;0;0;;;;710;
7180;;0;0;;;;228;
8463;;0;0;;;;;
7288;;0;0;;;;;
7285;;0;0;;;;;
7513;;2197;1;;;;;
9121;;0;0;;;;;
9773;;0;0;;;;;
8891;;0;0;;;;;
8412;;0;0;;;;;
8002;;830;8;;;;;
9537;;2279;2;;;;4400;
9576;;1634;4;;;;;
7254;;940;3;;;;;
8344;;0;0;;;;6514;
7267;;0;0;;;;;
8421;;0;0;;;;;
7289;;0;0;;;;;
7378;;0;0;;;;;
7508;;0;0;;;;;
7278;;0;0;;;;;
7773;;0;0;;;;;
8011;;0;0;;;;;
9801;;3223;3;;;;;
8030;;0;0;;;;;
7282;;0;0;;;;;
7284;;0;0;;;;;
8481;;0;0;;;;;
7441;;470;2;;;;;
7670;;0;0;;;;;
8426;;0;0;;;;;
7266;;0;0;;;;;
9555;;0;0;;;;4664;
8209;;0;0;;;;;
8888;;0;0;;;;;
7314;;0;0;;;;;
8895;;0;0;;;;;
7287;;0;0;;;;;
7484;;0;0;;;;;
7249;;0;0;;;;900;
8427;;0;0;;;;;
7257;;362;10;;;;;
7376;;0;0;;;;;
8924;;0;0;;;;;
8416;;0;0;;;;;
7507;;0;0;;;;;
9078;;410;1;;;;;
7341;;0;0;;;;;
7795;;0;0;;;;5749;
9057;;0;0;;;;;
8423;;0;0;;;;;
8385;;0;0;;;;;
8443;;0;0;;;;;
8001;;1016;3;;;;;
8043;;280;2;;;;;
8911;;977;4;;;;;
8208;;0;0;;;;;
7539;;0;0;;;;;
7279;;0;0;;;;;
7226;;0;0;;;;;
7225;;1212;3;;;;;
7229;;0;0;;;;;
7230;;0;0;;;;;
7506;;0;0;;;;;
9572;;0;0;;;;;
9320;;0;0;;;;;
7775;;0;0;;;;;
7272;;0;0;;;;;
7277;;0;0;;;;;
9083;;0;0;;;;;
9081;;0;0;;;;;
10246;;1112;4;;;;990;
8007;;0;0;;;;;
7232;;0;0;;;;;
7270;;0;0;;;;;
7263;;0;0;;;;;
7919;;0;0;;;;;
8440;;0;0;;;;;
9038;;3843;1;;;;;
8441;;0;0;;;;;
8496;;0;0;;;;;
9583;;0;0;;;;;
7437;;470;2;;;;;
7440;;426;1;;;;;
8436;;0;0;;;;;
7269;;285;1;;;;;
10278;;0;0;;;;1610;
7687;;0;0;;;;;
7235;;266;3;;;;;
7236;;0;0;;;;;
7237;;0;0;;;;;
7281;;0;0;;;;;
7250;;605;14;;;;;
7807;;0;0;;;;;
7245;;0;0;;;;;
7246;;0;0;;;;;
7477;;0;0;;;;;
7821;;0;0;;;;;
8021;;1759;1;;;;;
8921;;0;0;;;;;
7486;;0;0;;;;;
9015;;0;0;;;;;
8010;;0;0;;;;;
7725;;0;0;;;;;
8439;;0;0;;;;;
8072;;1519;1;;;;;
7753;;0;0;;;;;
7310;;0;0;;;;;
8079;;0;0;;;;;
7750;;2768;1;;;;5344;
8479;;0;0;;;;;
7438;;470;2;;;;;
8894;;0;0;;;;;
8409;;0;0;;;;;
7585;;7539;1;;;;;
7516;;851;15;;;;;
9080;;0;0;;;;;
7427;;0;0;;;;;
7425;;0;0;;;;;
7426;;0;0;;;;;
7431;;0;0;;;;;
8381;;0;0;;;;;
7627;;0;0;;;;;
8004;;893;4;;;;;
7439;;470;2;;;;;
9577;;0;0;;;;;
9147;;3197;1;;;;;
7809;;0;0;;;;;
7831;;0;0;;;;;
7491;;0;0;;;;;
7490;;0;0;;;;;
7488;;2106;1;;;;;
8020;;0;0;;;;;
7485;;0;0;;;;;
7482;;3298;1;;;;;
7483;;0;0;;;;;
9079;;0;0;;;;;
7481;;2630;1;;;;;
7480;;2538;1;;;;;
7487;;0;0;;;;;
8493;;0;0;;;;;
8424;;0;0;;;;;
7721;;0;0;;;;;
7515;;0;0;;;;;
7514;;0;0;;;;;
7751;;0;0;;;;3872;
7589;;0;0;;;;;
9094;;0;0;;;;;
7774;;0;0;;;;;
5038;;0;0;;;;;
8096;;0;0;;;;;
5641;;806;2;;;;;
9785;;0;0;;;;;
7527;;1917;1;;;;;
7524;;1384;5;;;;;
7523;;0;0;;;;;
7534;;2150;3;;;;;
150;;228;6;;;;;
5279;;228;12;;;;;
10251;;1666;12;;;;1480;
7590;;0;0;;;;;
7536;;0;0;;;;;
7535;;0;0;;;;;
7543;;0;0;;;;;
8429;;0;0;;;;;
8736;;0;0;;;;;
7557;;851;9;;;;;
5299;;0;0;;;;;
7554;;876;2;;;;;
7555;;895;1;;;;;
7559;;698;1;;;;;
7563;;3457;1;;;;;
9540;;3532;1;;;;6492;
7564;;0;0;;;;;
7570;;0;0;;;;;
7569;;0;0;;;;;
7566;;0;0;;;;;
5372;;0;0;;;;;
8041;;0;0;;;;;
7660;;0;0;;;;;
7752;;263;3;;;;;
10272;;0;0;;;;1280;
8425;;0;0;;;;;
10055;;4666;1;;;;;
7898;;0;0;;;;;
10279;;1775;5;;;;1590;
8430;;0;0;;;;;
7703;;0;0;;;;;
8009;;0;0;;;;;
8420;;0;0;;;;;
8003;;844;1;;;;;
8918;;0;0;;;;;
8659;;1143;2;;;;;
7683;;0;0;;;;;
7681;;0;0;;;;;
7675;;0;0;;;;;
7707;;1300;13;;;;;
7666;;0;0;;;;;
7668;;0;0;;;;;
7658;;0;0;;;;;
7754;;0;0;;;;;
7694;;6090;1;;;;;
7699;;0;0;;;;;
7719;;0;0;;;;;
7724;;616;5;;;;;
8671;;3344;6;;;;2577;
8435;;0;0;;;;;
9239;;0;0;;;;;
8418;;0;0;;;;;
8411;;0;0;;;;;
7783;;0;0;;;;;
7772;;0;0;;;;;
8170;;783;2;;;;;
7832;;0;0;;;;;
8018;;0;0;;;;;
8902;;1682;13;;;;;
8019;;944;3;;;;;
9899;;1670;6;;;;;
8935;;0;0;;;;;
10244;;960;1;;;;990;
7917;;0;0;;;;;
7918;;0;0;;;;;
7914;;0;0;;;;;
7916;;0;0;;;;;
7915;;0;0;;;;;
10264;;0;0;;;;;
7838;;0;0;;;;;
8382;;0;0;;;;;
9783;;0;0;;;;;
7823;;0;0;;;;;
8652;;2278;8;;;;;
8434;;0;0;;;;;
7815;;0;0;;;;;
8006;;0;0;;;;;
8925;;0;0;;;;;
9238;;0;0;;;;;
8394;;0;0;;;;;
8073;;1472;1;;;;;
8656;;3346;4;;;;;
10290;;1869;1;;;;1600;
8042;;280;7;;;;;
8027;;0;0;;;;;
8028;;0;0;;;;;
8029;;0;0;;;;;
9579;;0;0;;;;;
8200;;0;0;;;;;
8393;;0;0;;;;;
8483;;0;0;;;;;
8438;;0;0;;;;;
9084;;0;0;;;;;
8383;;0;0;;;;;
10314;;0;0;;;;1960;
8204;;3519;1;;;;;
8205;;0;0;;;;;
8202;;0;0;;;;;
8501;;0;0;;;;;
8207;;0;0;;;;;
8406;;0;0;;;;;
8215;;847;1;;;;;
8216;;0;0;;;;;
5416;;3536;1;;;;;
8228;;0;0;;;;;
8227;;0;0;;;;;
8673;;0;0;;;;;
8219;;0;0;;;;;
9362;;0;0;;;;;
8442;;0;0;;;;;
9088;;0;0;;;;;
8433;;0;0;;;;;
8342;;2726;3;;;;5264;
8340;;0;0;;;;;
8337;;0;0;;;;;
8336;;2476;1;;;;4562;
8334;;2054;1;;;;4498;
8384;;0;0;;;;;
10310;;0;0;;;;1690;
10311;;2095;2;;;;1730;
10238;;2294;1;;;;1600;
8377;;0;0;;;;;
8378;;0;0;;;;;
10271;;0;0;;;;;
8686;;0;0;;;;;
8380;;0;0;;;;;
8431;;0;0;;;;;
8410;;0;0;;;;;
8408;;0;0;;;;;
8396;;0;0;;;;;
8417;;0;0;;;;;
10038;;4092;15;;;;;
8395;;0;0;;;;;
8415;;0;0;;;;;
8422;;0;0;;;;;
8414;;0;0;;;;;
8407;;0;0;;;;;
9388;;0;0;;;;;
8975;;0;0;;;;;
10281;;1805;14;;;;1600;
9371;;0;0;;;;;
8812;;0;0;;;;;
75;;1781;9;;;;;
9312;;2224;1;;;;;
8482;;0;0;;;;;
8978;;0;0;;;;;
10275;;1775;1;;;;1590;
8889;;0;0;;;;;
8674;;2996;2;;;;;
8819;;0;0;;;;;
10309;;0;0;;;;1710;
8480;;0;0;;;;;
9036;;8402;1;;;;;
9580;;0;0;;;;;
8477;;0;0;;;;;
10167;;0;0;;;;;
9151;;2169;5;;;;;
9781;;0;0;;;;;
8499;;2013;1;;;;;
8498;;0;0;;;;;
8629;;0;0;;;;;
8672;;3190;3;;;;;
9804;;2517;4;;;;;
5482;;2877;8;;;;;
8914;;0;0;;;;;
8909;;1008;2;;;;;
9531;;0;0;;;;;
9772;;0;0;;;;;
8917;;0;0;;;;;
10250;;1468;3;;;;1480;
8666;;3133;13;;;;;
9779;;0;0;;;;;
8683;;1267;1;;;;;
9778;;1634;3;;;;;
10289;;1833;4;;;;1480;
8892;;0;0;;;;;
8890;;0;0;;;;;
9085;;0;0;;;;;
8777;;0;0;;;;;
8893;;0;0;;;;;
8769;;0;0;;;;;
8755;;0;0;;;;;
9767;;0;0;;;;;
9581;;0;0;;;;;
9240;;0;0;;;;;
8896;;0;0;;;;;
9360;;0;0;;;;;
