id товара;осн. артикул;цена;наличие;статус;доп. артикул;штрихкод;ррц
16457;;0;0;;;;;
20472;;594;6;;;;;
16793;;575;1;;;;;
14227;;1869;5;;;;;
20549;;0;0;;;;;
24009;;0;0;;;;;
17216;;0;0;;;;;
20818;;0;0;;;;;
24185;;788;41;;;;;
14257;;0;0;;;;;
23879;;0;0;;;;;
14251;;0;0;;;;3778;
14985;;0;0;;;;;
14241;;0;0;;;;;
18348;;0;0;;;;;
15170;;0;0;;;;;
14253;;0;0;;;;4268;
14244;;1714;1;;;;;
14254;;0;0;;;;3998;
19793;;1483;2;;;;;
20673;;0;0;;;;10490;
21087;;0;0;;;;;
14240;;0;0;;;;;
14837;;0;0;;;;;
17280;;0;0;;;;;
14219;;0;0;;;;;
18292;;2257;3;;;;;
16848;;0;0;;;;;
14404;;0;0;;;;;
14396;;0;0;;;;;
18289;;0;0;;;;2340;
15093;;0;0;;;;;
24784;;1965;2;;;;;
18414;;385;6;;;;;
16092;;0;0;;;;;
15087;;0;0;;;;;
18134;;1052;3;;;;;
19409;;0;0;;;;;
22240;;1009;1;;;;;
15947;;223;14;;;;432;
15349;;0;0;;;;;
14486;;0;0;;;;;
16335;;0;0;;;;;
15652;;1263;1;;;;;
17532;;1775;1;;;;1580;
15998;;3801;1;;;;;
16932;;0;0;;;;1490;
16169;;765;4;;;;;
22463;;0;0;;;;;
18232;;0;0;;;;836;
16854;;0;0;;;;;
25280;;454;11;;;;;
18300;;455;23;;;;;
18124;;0;0;;;;;
15615;;857;1;;;;;
16850;;0;0;;;;;
17372;;0;0;;;;;
19075;;0;0;;;;;
14511;;0;0;;;;;
16504;;0;0;;;;;
15347;;0;0;;;;;
18498;;961;2;;;;;
15765;;0;0;;;;;
18483;;0;0;;;;;
16484;;0;0;;;;;
14347;;0;0;;;;;
25257;;0;0;;;;;
14410;;1545;1;;;;;
15450;;0;0;;;;;
14287;;0;0;;;;;
19614;;890;1;;;;;
18325;;767;2;;;;;
14951;;1017;2;;;;;
14917;;0;0;;;;;
16470;;0;0;;;;;
18548;;781;2;;;;710;
18617;;0;0;;;;1300;
22879;;0;0;;;;;
15589;;0;0;;;;;
17478;;274;10;;;;;
17798;;0;0;;;;4328;
14848;;0;0;;;;;
23031;;0;0;;;;;
16968;;0;0;;;;;
15171;;0;0;;;;;
16035;;0;0;;;;;
15584;;0;0;;;;;
19423;;768;2;;;;;
14984;;0;0;;;;;
16781;;0;0;;;;;
16717;;0;0;;;;;
23511;;0;0;;;;;
16586;;1383;15;;;;;
16642;;0;0;;;;;
12398;;1517;1;;;;;
22637;;0;0;;;;;
15112;;0;0;;;;;
24135;;602;1;;;;;
15185;;0;0;;;;;
19533;;0;0;;;;;
14769;;0;0;;;;;
20067;;0;0;;;;;
15715;;0;0;;;;;
17558;;0;0;;;;;
14295;;0;0;;;;;
14296;;0;0;;;;;
14297;;0;0;;;;;
19559;;784;2;;;;;
16215;;0;0;;;;;
15120;;0;0;;;;;
24007;;0;0;;;;;
11371;;0;0;;;;;
22277;;0;0;;;;;
19534;;0;0;;;;;
16583;;0;0;;;;;
24882;;91;5;;;;;
22929;;0;0;;;;;
14298;;0;0;;;;;
24751;;0;0;;;;;
16665;;0;0;;;;;
16171;;2089;1;;;;;
17055;;0;0;;;;;
17012;;0;0;;;;;
25112;;0;0;;;;;
18495;;1146;2;;;;;
20529;;0;0;;;;;
16086;;391;9;;;;;
13534;;0;0;;;;;
17812;;0;0;;;;;
17673;;0;0;;;;;
14401;;0;0;;;;;
16984;;0;0;;;;;
17288;;0;0;;;;;
11977;;0;0;;;;;
15516;;584;2;;;;;
21315;;0;0;;;;;
20825;;0;0;;;;;
16254;;1355;2;;;;1370;
22257;;0;0;;;;3756;
14302;;665;2;;;;;
18371;;1377;8;;;;;
19268;;0;0;;;;;
15463;;0;0;;;;;
15142;;1876;2;;;;;
18485;;3612;3;;;;;
15539;;535;1;;;;;
15943;;2290;1;;;;;
17230;;0;0;;;;;
17466;;0;0;;;;;
14308;;0;0;;;;;
14307;;0;0;;;;;
14303;;0;0;;;;;
16460;;0;0;;;;;
14311;;0;0;;;;;
14310;;0;0;;;;;
16531;;0;0;;;;;
14314;;0;0;;;;;
14313;;0;0;;;;;
15541;;0;0;;;;;
14317;;0;0;;;;;
14316;;0;0;;;;;
14318;;3174;5;;;;;
15413;;2090;4;;;;;
18563;;621;2;;;;;
18092;;0;0;;;;;
16973;;0;0;;;;;
16239;;0;0;;;;;
21620;;0;0;;;;;
17694;;0;0;;;;;
15574;;0;0;;;;;
17027;;2476;1;;;;4562;
14320;;0;0;;;;;
14322;;0;0;;;;;
16993;;266;6;;;;;
15592;;0;0;;;;;
16742;;0;0;;;;;
14324;;3856;3;;;;;
15164;;16894;3;;;;;
11496;;0;0;;;;;
16885;;0;0;;;;;
15752;;0;0;;;;;
15242;;0;0;;;;;
18382;;1177;2;;;;;
23073;;1298;1;;;;;
14328;;0;0;;;;;
14329;;0;0;;;;;
14330;;0;0;;;;;
14331;;0;0;;;;;
14332;;0;0;;;;;
14333;;0;0;;;;;
14950;;1017;1;;;;;
15247;;0;0;;;;;
14824;;0;0;;;;;
24815;;0;0;;;;;
14334;;0;0;;;;;
14335;;0;0;;;;;
12178;;0;0;;;;;
14336;;0;0;;;;;
20045;;0;0;;;;;
16485;;0;0;;;;;
19555;;0;0;;;;;
17022;;0;0;;;;;
15326;;0;0;;;;;
15514;;617;2;;;;;
24801;;0;0;;;;;
20004;;0;0;;;;;
14400;;0;0;;;;;
16211;;2389;1;;;;;
20670;;0;0;;;;;
19479;;0;0;;;;;
21042;;0;0;;;;;
17456;;0;0;;;;;
14379;;0;0;;;;;
18720;;0;0;;;;;
17015;;2962;3;;;;;
14423;;8420;1;;;;;
14368;;0;0;;;;;
23818;;723;6;;;;;
15685;;0;0;;;;;
14367;;0;0;;;;;
24960;;537;1;;;;;
14360;;0;0;;;;;
14363;;0;0;;;;;
22629;;0;0;;;;;
18266;;0;0;;;;734;
17407;;515;1;;;;;
14356;;3708;1;;;;;
14354;;0;0;;;;;
16349;;1614;2;;;;;
14351;;0;0;;;;;
14352;;1902;7;;;;;
15758;;0;0;;;;;
18336;;772;11;;;;;
19213;;0;0;;;;;
17995;;209;6;;;;;
21423;;0;0;;;;;
21531;;850;5;;;;;
15081;;0;0;;;;;
15507;;2295;1;;;;;
21109;;0;0;;;;;
14541;;0;0;;;;;
14338;;858;19;;;;;
18493;;0;0;;;;;
14339;;3656;20;;;;;
18135;;0;0;;;;;
23369;;0;0;;;;8490;
14218;;0;0;;;;;
18343;;0;0;;;;;
25343;;0;0;;;;;
15737;;0;0;;;;;
20590;;0;0;;;;;
24954;;691;1;;;;;
22468;;1227;2;;;;;
21047;;630;2;;;;;
19838;;3411;1;;;;;
15275;;0;0;;;;;
15619;;0;0;;;;;
18682;;0;0;;;;;
18531;;0;0;;;;;
17913;;724;1;;;;;
24726;;0;0;;;;;
14415;;0;0;;;;;
14416;;1260;1;;;;;
9142;;1137;1;;;;;
14431;;2182;1;;;;;
14434;;0;0;;;;;
21124;;641;8;;;;;
14436;;1869;3;;;;;
14435;;1496;1;;;;;
14456;;0;0;;;;;
19538;;3322;17;;;;;
14449;;0;0;;;;;
24372;;0;0;;;;;
14468;;7929;2;;;;;
13179;;0;0;;;;;
17903;;0;0;;;;;
19528;;0;0;;;;;
17630;;0;0;;;;;
16969;;0;0;;;;;
20919;;0;0;;;;;
15254;;2554;1;;;;5146;
17049;;0;0;;;;;
14965;;0;0;;;;;
17610;;0;0;;;;;
18256;;0;0;;;;1224;
24909;;0;0;;;;;
17106;;0;0;;;;;
14503;;0;0;;;;;
20011;;243;1;;;;;
17858;;0;0;;;;;
15674;;0;0;;;;;
18605;;591;1;;;;;
16429;;0;0;;;;;
17468;;0;0;;;;;
18587;;0;0;;;;;
16420;;0;0;;;;;
14493;;248;2;;;;;
19648;;1354;2;;;;;
16853;;0;0;;;;;
24031;;0;0;;;;;
15388;;0;0;;;;;
15325;;0;0;;;;;
14482;;0;0;;;;;
11477;;0;0;;;;;
16299;;0;0;;;;;
24802;;25597;3;;;;;
20282;;0;0;;;;;
14474;;0;0;;;;;
11742;;0;0;;;;;
16687;;0;0;;;;;
16431;;0;0;;;;;
15673;;0;0;;;;;
24228;;0;0;;;;;
16334;;2431;1;;;;;
15661;;267;5;;;;;
14956;;0;0;;;;;
15952;;0;0;;;;1200;
15145;;277;1;;;;;
15957;;0;0;;;;;
14537;;0;0;;;;;
24063;;0;0;;;;;
20668;;1317;1;;;;;
14554;;0;0;;;;;
14553;;0;0;;;;;
19523;;0;0;;;;;
18635;;0;0;;;;;
14544;;0;0;;;;;
16876;;0;0;;;;;
14524;;0;0;;;;;
14525;;0;0;;;;;
15676;;0;0;;;;;
14523;;0;0;;;;;
14528;;0;0;;;;;
21777;;0;0;;;;;
14532;;0;0;;;;;
14531;;0;0;;;;;
14530;;0;0;;;;;
14547;;0;0;;;;;
16348;;1040;6;;;;;
18351;;0;0;;;;;
14569;;0;0;;;;;
14593;;999999;1;;;;;
14582;;0;0;;;;;
19656;;0;0;;;;;
14608;;0;0;;;;;
14609;;0;0;;;;;
14610;;0;0;;;;;
14614;;1916;1;;;;;
14594;;2028;2;;;;;
20786;;0;0;;;;;
14602;;0;0;;;;;
14618;;0;0;;;;;
14619;;0;0;;;;;
14611;;0;0;;;;;
14623;;0;0;;;;;
14640;;0;0;;;;;
15583;;0;0;;;;;
14641;;0;0;;;;;
14643;;0;0;;;;;
22413;;0;0;;;;;
22013;;2993;1;;;;;
20085;;3446;3;;;;;
17495;;0;0;;;;;
18301;;120;1;;;;;
17410;;0;0;;;;;
18349;;0;0;;;;;
17057;;1108;5;;;;;
24869;;0;0;;;;;
22490;;0;0;;;;;
16343;;1614;2;;;;;
21886;;0;0;;;;;
18743;;0;0;;;;;
17020;;2962;2;;;;;
22928;;0;0;;;;;
15542;;583;2;;;;;
21654;;780;1;;;;;
19302;;0;0;;;;;
22913;;0;0;;;;;
17234;;0;0;;;;;
18136;;386;1;;;;;
17981;;398;1;;;;;
14658;;0;0;;;;;
14655;;0;0;;;;;
22241;;892;1;;;;;
24488;;0;0;;;;;
14662;;0;0;;;;;
14663;;0;0;;;;;
14661;;0;0;;;;;
14667;;432;1;;;;;
20385;;0;0;;;;;
14668;;0;0;;;;;
14670;;0;0;;;;;
24564;;682;2;;;;;
16685;;0;0;;;;;
19327;;0;0;;;;;
18756;;0;0;;;;;
15976;;0;0;;;;;
23455;;0;0;;;;;
19972;;0;0;;;;;
18552;;0;0;;;;;
17311;;875;1;;;;;
17120;;1861;1;;;;1400;
18319;;0;0;;;;;
16997;;667;2;;;;;
19961;;0;0;;;;;
17740;;399;1;;;;;
18212;;0;0;;;;;
16770;;0;0;;;;;
16533;;0;0;;;;;
24461;;416;1;;;;;
17404;;0;0;;;;;
16803;;1901;1;;;;;
17061;;0;0;;;;;
16135;;0;0;;;;;
16646;;0;0;;;;;
5428;;0;0;;;;;
18622;;0;0;;;;1160;
17164;;0;0;;;;;
18447;;0;0;;;;;
22076;;0;0;;;;;
14755;;1344;2;;;;;
19675;;0;0;;;;;
17534;;480;2;;;;;
14750;;0;0;;;;;
22960;;0;0;;;;;
14968;;0;0;;;;;
19021;;0;0;;;;;
16690;;0;0;;;;;
16655;;0;0;;;;;
16341;;2270;2;;;;;
24986;;0;0;;;;;
22423;;0;0;;;;;
14751;;0;0;;;;;
16398;;0;0;;;;;
17125;;667;3;;;;;
16691;;0;0;;;;;
14681;;0;0;;;;;
18407;;453;4;;;;;
14679;;1658;1;;;;;
14714;;0;0;;;;;
20546;;0;0;;;;;
22419;;0;0;;;;;
14974;;0;0;;;;;
18326;;0;0;;;;;
14707;;0;0;;;;;
24931;;0;0;;;;;
18221;;852;2;;;;1486;
18082;;0;0;;;;;
14791;;0;0;;;;;
15727;;0;0;;;;;
14826;;0;0;;;;;
16350;;904;7;;;;;
16802;;3482;13;;;;;
19020;;0;0;;;;;
22734;;0;0;;;;;
19135;;0;0;;;;1198;
14814;;0;0;;;;;
14809;;0;0;;;;;
14834;;0;0;;;;;
14817;;0;0;;;;;
14846;;0;0;;;;;
14816;;1023;1;;;;;
14815;;0;0;;;;;
15107;;0;0;;;;;
15764;;0;0;;;;;
24090;;298;17;;;;;
17542;;236;11;;;;;
14844;;0;0;;;;;
16671;;0;0;;;;;
18623;;645;1;;;;1100;
16849;;0;0;;;;;
19204;;0;0;;;;;
23663;;0;0;;;;;
17806;;0;0;;;;;
19573;;0;0;;;;;
24620;;507;3;;;;;
17725;;231;1;;;;;
15159;;2038;2;;;;;
14851;;0;0;;;;;
15110;;697;1;;;;;
14861;;0;0;;;;;
14894;;0;0;;;;;
14868;;0;0;;;;;
14867;;0;0;;;;;
14878;;0;0;;;;;
14876;;0;0;;;;;
16859;;0;0;;;;;
11755;;962;1;;;;;
20226;;0;0;;;;;
16399;;0;0;;;;;
23889;;0;0;;;;;
15743;;0;0;;;;;
22075;;493;2;;;;;
18536;;454;1;;;;;
20923;;0;0;;;;;
16653;;0;0;;;;;
16652;;0;0;;;;;
15109;;0;0;;;;;
20498;;0;0;;;;;
11769;;0;0;;;;;
17112;;0;0;;;;;
17567;;936;1;;;;;
14908;;0;0;;;;;
22016;;0;0;;;;;
14902;;0;0;;;;;
19514;;0;0;;;;;
16784;;0;0;;;;;
19861;;0;0;;;;;
23746;;3395;5;;;;2700;
16983;;0;0;;;;;
15747;;0;0;;;;;
18315;;1041;1;;;;;
18764;;0;0;;;;;
16516;;1112;2;;;;970;
15220;;579;2;;;;;
24316;;0;0;;;;;
21529;;439;8;;;;;
19334;;376;3;;;;;
14914;;0;0;;;;;
14993;;0;0;;;;;
14996;;0;0;;;;;
14947;;0;0;;;;;
14962;;0;0;;;;;
17942;;2617;1;;;;;
17419;;0;0;;;;;
24652;;0;0;;;;;
20782;;0;0;;;;9348;
14929;;0;0;;;;;
14927;;0;0;;;;;
15035;;0;0;;;;;
21417;;0;0;;;;;
14960;;0;0;;;;;
14959;;0;0;;;;;
21377;;0;0;;;;;
14963;;0;0;;;;;
21675;;0;0;;;;;
15001;;0;0;;;;;
14932;;0;0;;;;;
14938;;0;0;;;;;
16214;;0;0;;;;;
14983;;532;3;;;;;
14934;;0;0;;;;;
20655;;0;0;;;;;
14949;;1017;1;;;;;
15730;;0;0;;;;;
14918;;0;0;;;;;
14920;;0;0;;;;;
16143;;0;0;;;;;
16591;;129;4;;;;;
16052;;0;0;;;;;
9865;;0;0;;;;;
15100;;0;0;;;;;
14999;;0;0;;;;;
15748;;0;0;;;;;
23673;;719;2;;;;;
17612;;1004;2;;;;;
16087;;0;0;;;;;
16760;;0;0;;;;;
24578;;0;0;;;;;
16744;;0;0;;;;;
15267;;0;0;;;;4724;
21439;;0;0;;;;1000;
15155;;0;0;;;;;
18314;;1963;5;;;;;
19566;;592;2;;;;;
17413;;0;0;;;;;
15006;;0;0;;;;;
15007;;0;0;;;;;
15614;;0;0;;;;;
15610;;0;0;;;;;
24273;;0;0;;;;;
16203;;0;0;;;;;
9465;;2427;1;;;;;
20220;;0;0;;;;;
17629;;0;0;;;;;
15219;;562;3;;;;;
15263;;0;0;;;;4642;
16366;;0;0;;;;;
15857;;0;0;;;;;
25053;;0;0;;;;;
15972;;0;0;;;;;
15744;;0;0;;;;;
15160;;1002;7;;;;;
20894;;0;0;;;;;
19350;;0;0;;;;;
16456;;0;0;;;;;
16240;;4276;2;;;;4856;
22318;;0;0;;;;;
15367;;0;0;;;;;
17002;;0;0;;;;;
22223;;0;0;;;;;
15323;;0;0;;;;;
17722;;331;1;;;;;
15017;;0;0;;;;;
16733;;0;0;;;;;
19660;;0;0;;;;;
15124;;0;0;;;;;
12055;;0;0;;;;;
16392;;981;1;;;;;
22347;;170;6;;;;;
17417;;918;1;;;;;
17042;;0;0;;;;;
21034;;0;0;;;;;
24635;;2939;1;;;;;
15127;;0;0;;;;;
21573;;1285;1;;;;;
15750;;0;0;;;;;
16471;;0;0;;;;;
25035;;2150;2;;;;;
21197;;0;0;;;;;
15041;;0;0;;;;;
15111;;0;0;;;;;
15038;;2420;8;;;;;
17605;;0;0;;;;;
17399;;0;0;;;;;
18381;;0;0;;;;;
17765;;0;0;;;;;
19215;;0;0;;;;;
19315;;0;0;;;;;
16125;;0;0;;;;;
15537;;647;3;;;;;
15534;;0;0;;;;;
11905;;207;4;;;;;
15033;;0;0;;;;;
15029;;0;0;;;;;
23034;;217;1;;;;;
20507;;0;0;;;;;
15833;;0;0;;;;;
22988;;0;0;;;;;
15073;;0;0;;;;;
17237;;2757;2;;;;;
15024;;0;0;;;;;
15032;;0;0;;;;;
18370;;0;0;;;;7949;
22087;;6667;1;;;;;
16680;;0;0;;;;;
16578;;0;0;;;;;
17401;;437;1;;;;;
24324;;0;0;;;;;
16530;;131;3;;;;;
16200;;0;0;;;;;
16971;;0;0;;;;;
16177;;0;0;;;;;
15192;;0;0;;;;;
15207;;0;0;;;;;
15136;;0;0;;;;;
16640;;0;0;;;;;
17435;;0;0;;;;;
16763;;0;0;;;;;
20183;;0;0;;;;;
20785;;1833;1;;;;;
18802;;0;0;;;;;
15738;;0;0;;;;;
25140;;0;0;;;;;
22909;;534;4;;;;;
24546;;157;2;;;;;
16934;;967;3;;;;710;
17488;;0;0;;;;;
16629;;0;0;;;;;
15166;;0;0;;;;;
15176;;0;0;;;;;
23726;;902;1;;;;;
16673;;0;0;;;;;
15178;;0;0;;;;;
15177;;0;0;;;;;
15183;;0;0;;;;;
15184;;0;0;;;;;
24887;;999;2;;;;;
23970;;1727;4;;;;;
15188;;0;0;;;;;
15182;;0;0;;;;;
15198;;6090;1;;;;;
17555;;1892;3;;;;;
20097;;1002;8;;;;;
15195;;2865;4;;;;;
19725;;0;0;;;;;
15200;;1230;2;;;;;
18661;;0;0;;;;;
17743;;382;1;;;;;
20532;;0;0;;;;;
19910;;1142;1;;;;;
18547;;581;1;;;;;
15208;;0;0;;;;;
23467;;181;9;;;;;
19448;;426;19;;;;;
19301;;0;0;;;;900;
15590;;0;0;;;;;
15202;;0;0;;;;;
16347;;1040;4;;;;;
17302;;0;0;;;;;
17840;;0;0;;;;;
15950;;0;0;;;;1250;
15946;;1861;1;;;;1400;
17653;;0;0;;;;;
18561;;0;0;;;;;
17453;;0;0;;;;;
16178;;326;2;;;;;
19422;;0;0;;;;;
16987;;456;4;;;;;
19836;;0;0;;;;;
15713;;0;0;;;;;
16916;;0;0;;;;;
12817;;3418;7;;;;;
18513;;0;0;;;;;
24929;;0;0;;;;;
17548;;0;0;;;;;
16589;;0;0;;;;;
15283;;4130;1;;;;;
18302;;424;9;;;;;
16623;;6699;1;;;;;
15259;;0;0;;;;;
15270;;0;0;;;;;
16524;;177;3;;;;;
15271;;0;0;;;;;
19425;;882;2;;;;;
15586;;0;0;;;;6514;
15850;;0;0;;;;;
15274;;0;0;;;;;
17459;;0;0;;;;;
18129;;1010;1;;;;;
17931;;0;0;;;;;
15248;;0;0;;;;;
18154;;0;0;;;;2186;
16826;;456;4;;;;;
24621;;0;0;;;;;
15239;;0;0;;;;;
24025;;0;0;;;;;
21440;;925;1;;;;;
21407;;0;0;;;;;
22323;;0;0;;;;;
15235;;4655;3;;;;;
16300;;0;0;;;;;
18040;;0;0;;;;;
20419;;0;0;;;;;
15229;;0;0;;;;;
16990;;431;6;;;;;
17800;;0;0;;;;720;
15731;;408;1;;;;;
15666;;0;0;;;;;
18261;;0;0;;;;1008;
17549;;1350;2;;;;;
15509;;0;0;;;;;
15532;;647;1;;;;;
23688;;0;0;;;;;
23140;;0;0;;;;;
16647;;0;0;;;;;
15221;;0;0;;;;;
15853;;0;0;;;;;
17014;;0;0;;;;;
15318;;0;0;;;;;
11707;;0;0;;;;;
18810;;0;0;;;;;
13603;;0;0;;;;;
25145;;0;0;;;;;
10141;;0;0;;;;;
20316;;0;0;;;;;
16843;;0;0;;;;;
15249;;0;0;;;;6286;
15222;;0;0;;;;;
15856;;0;0;;;;;
18632;;0;0;;;;;
22281;;0;0;;;;;
19026;;0;0;;;;;
15292;;0;0;;;;;
15291;;0;0;;;;;
15300;;2632;1;;;;;
15299;;0;0;;;;;
21862;;0;0;;;;;
16875;;0;0;;;;;
25127;;0;0;;;;;
15332;;0;0;;;;;
18390;;2263;5;;;;;
17284;;0;0;;;;;
18052;;0;0;;;;;
19478;;945;3;;;;;
15327;;0;0;;;;;
15756;;0;0;;;;;
16518;;142;2;;;;;
16746;;0;0;;;;;
15757;;0;0;;;;;
15733;;0;0;;;;;
16718;;1997;1;;;;;
24826;;765;1;;;;;
19857;;0;0;;;;;
22964;;0;0;;;;;
18465;;0;0;;;;;
16898;;0;0;;;;;
17452;;0;0;;;;;
16204;;1753;1;;;;;
15351;;0;0;;;;;
23160;;0;0;;;;;
11875;;0;0;;;;;
17764;;0;0;;;;;
15328;;0;0;;;;;
15329;;0;0;;;;;
17428;;0;0;;;;;
15350;;0;0;;;;;
15364;;3649;1;;;;3863;
15330;;0;0;;;;;
16939;;0;0;;;;710;
21120;;1142;1;;;;;
22760;;0;0;;;;;
15365;;1044;1;;;;;
16704;;0;0;;;;;
15340;;0;0;;;;;
24797;;17104;9;;;;;
17406;;515;2;;;;;
15341;;0;0;;;;;
15342;;0;0;;;;;
20841;;0;0;;;;;
15343;;0;0;;;;;
15344;;0;0;;;;;
15345;;0;0;;;;;
15354;;0;0;;;;;
15353;;0;0;;;;;
15348;;0;0;;;;;
16488;;0;0;;;;;
18263;;538;1;;;;988;
17504;;6085;1;;;;6300;
16053;;0;0;;;;;
18353;;0;0;;;;;
18103;;0;0;;;;;
16477;;0;0;;;;;
18399;;409;10;;;;;
15384;;410;2;;;;;
22700;;0;0;;;;;
20687;;0;0;;;;;
18297;;2147;15;;;;;
16766;;0;0;;;;;
15385;;252;4;;;;;
16163;;0;0;;;;;
18190;;653;1;;;;;
15375;;252;3;;;;;
18086;;0;0;;;;;
18356;;0;0;;;;;
19930;;0;0;;;;;
15377;;0;0;;;;;
5481;;0;0;;;;;
15392;;0;0;;;;;
15393;;0;0;;;;;
15394;;0;0;;;;;
15395;;0;0;;;;;
15401;;0;0;;;;;
15399;;2079;1;;;;;
15400;;1569;3;;;;;
15398;;0;0;;;;;
15397;;0;0;;;;;
15396;;487;3;;;;;
15405;;2658;3;;;;;
15406;;0;0;;;;;
18002;;0;0;;;;;
20016;;0;0;;;;;
23175;;0;0;;;;4070;
15446;;0;0;;;;;
15447;;0;0;;;;;
16764;;0;0;;;;;
20853;;0;0;;;;;
16189;;0;0;;;;;
18535;;0;0;;;;;
15438;;0;0;;;;;
17420;;0;0;;;;;
18284;;0;0;;;;;
15422;;0;0;;;;;
25338;;0;0;;;;;
22176;;1340;13;;;;;
15433;;0;0;;;;;
23829;;0;0;;;;;
15718;;0;0;;;;;
15428;;0;0;;;;;
15427;;211;30;;;;;
15415;;0;0;;;;;
17007;;0;0;;;;;
15416;;66;27;;;;;
15417;;66;2;;;;;
15418;;66;2;;;;;
15426;;0;0;;;;;
16889;;0;0;;;;;
15414;;0;0;;;;;
15408;;0;0;;;;;
21435;;0;0;;;;650;
16133;;0;0;;;;;
20033;;0;0;;;;;
24893;;0;0;;;;2835;
22871;;0;0;;;;;
19561;;0;0;;;;;
15531;;0;0;;;;;
15725;;0;0;;;;;
15678;;0;0;;;;;
22325;;0;0;;;;;
24232;;0;0;;;;;
15736;;0;0;;;;;
15645;;0;0;;;;;
17635;;0;0;;;;;
17803;;0;0;;;;710;
824;;1212;1;;;;;
21371;;630;1;;;;;
22221;;0;0;;;;;
15739;;0;0;;;;;
15451;;0;0;;;;;
18303;;124;6;;;;;
17615;;0;0;;;;;
15662;;2481;1;;;;;
15455;;0;0;;;;;
15449;;0;0;;;;;
16208;;512;3;;;;;
16176;;0;0;;;;;
22965;;0;0;;;;;
20677;;0;0;;;;;
18331;;0;0;;;;;
18458;;0;0;;;;;
24948;;3109;2;;;;;
15468;;0;0;;;;;
15510;;0;0;;;;;
18529;;648;1;;;;;
21132;;429;4;;;;;
16676;;0;0;;;;;
25086;;0;0;;;;;
15490;;0;0;;;;;
15491;;0;0;;;;;
15492;;0;0;;;;;
15493;;0;0;;;;;
15494;;0;0;;;;;
25232;;0;0;;;;;
22505;;0;0;;;;;
16388;;0;0;;;;3649;
18060;;0;0;;;;;
23366;;0;0;;;;5690;
19678;;0;0;;;;1160;
19673;;0;0;;;;;
16974;;0;0;;;;;
15827;;0;0;;;;;
15497;;0;0;;;;;
15489;;0;0;;;;;
19670;;0;0;;;;;
24361;;0;0;;;;;
24108;;4242;1;;;;;
21589;;1281;12;;;;;
20854;;0;0;;;;;
15530;;0;0;;;;;
15527;;0;0;;;;;
18380;;0;0;;;;;
15525;;647;1;;;;;
17001;;0;0;;;;;
16815;;0;0;;;;;
10396;;0;0;;;;;
25099;;0;0;;;;;
20969;;0;0;;;;;
20435;;109;7;;;;;
17805;;0;0;;;;;
17991;;1830;5;;;;;
24982;;0;0;;;;;
17726;;0;0;;;;;
15617;;0;0;;;;;
12479;;1339;2;;;;;
16473;;0;0;;;;;
21784;;0;0;;;;;
24685;;0;0;;;;;
25227;;268;24;;;;;
15517;;0;0;;;;;
15536;;629;1;;;;;
18149;;0;0;;;;;
17253;;0;0;;;;;
17744;;382;1;;;;;
23159;;0;0;;;;;
15580;;0;0;;;;;
19907;;0;0;;;;;
16918;;0;0;;;;;
20231;;0;0;;;;;
16682;;0;0;;;;;
15529;;0;0;;;;;
15522;;579;1;;;;;
16615;;0;0;;;;;
15519;;0;0;;;;;
24181;;862;2;;;;;
15511;;1922;1;;;;;
15513;;2513;3;;;;;
15508;;0;0;;;;;
16480;;0;0;;;;;
16519;;0;0;;;;;
15512;;0;0;;;;;
21939;;0;0;;;;;
21973;;0;0;;;;760;
16195;;0;0;;;;;
16710;;0;0;;;;;
24418;;0;0;;;;;
16021;;5011;1;;;;;
15740;;0;0;;;;;
17490;;0;0;;;;;
17992;;1830;3;;;;;
22227;;0;0;;;;;
22271;;590;7;;;;;
15717;;0;0;;;;;
17729;;422;1;;;;;
15646;;0;0;;;;6179;
15634;;3394;2;;;;;
16773;;0;0;;;;;
9747;;0;0;;;;1838;
18231;;0;0;;;;1114;
15632;;0;0;;;;;
17519;;533;2;;;;;
21135;;259;5;;;;;
19810;;0;0;;;;;
15643;;0;0;;;;;
16120;;0;0;;;;;
24867;;0;0;;;;;
19676;;698;1;;;;1716;
18150;;0;0;;;;;
16026;;1692;3;;;;;
18532;;576;1;;;;;
18445;;0;0;;;;5636;
17301;;0;0;;;;;
16036;;0;0;;;;;
11906;;0;0;;;;;
17602;;897;1;;;;;
19175;;0;0;;;;;
17141;;498;5;;;;;
24829;;665;2;;;;;
18863;;0;0;;;;;
16044;;266;1;;;;;
15775;;0;0;;;;;
22367;;0;0;;;;;
16490;;0;0;;;;;
21145;;0;0;;;;;
17292;;0;0;;;;;
16638;;0;0;;;;;
17580;;465;1;;;;;
17256;;0;0;;;;;
16594;;128;1;;;;;
15851;;0;0;;;;;
15767;;0;0;;;;;
15787;;0;0;;;;;
15791;;0;0;;;;;
15792;;0;0;;;;;
15793;;0;0;;;;;
15794;;0;0;;;;;
15849;;0;0;;;;;
16277;;0;0;;;;;
9211;;2290;10;;;;;
16759;;0;0;;;;;
16977;;0;0;;;;;
25094;;0;0;;;;;
23896;;0;0;;;;;
17444;;0;0;;;;;
15855;;0;0;;;;;
15846;;0;0;;;;;
16841;;0;0;;;;;
20499;;0;0;;;;;
20965;;0;0;;;;;
20875;;0;0;;;;;
23640;;0;0;;;;;
16842;;0;0;;;;;
21063;;601;3;;;;;
18554;;0;0;;;;;
16874;;0;0;;;;;
19180;;0;0;;;;;
17429;;3106;1;;;;;
