№,Номер поставки,Предмет,Код номенклатуры,Бренд,Артикул поставщика,Название,Размер,Баркод,Тип документа,Обоснование для оплаты,Дата заказа покупателем,Дата продажи,Кол-во,Цена розничная,Вайлдберриз реализовал Товар (Пр),"Согласованный продуктовый дисконт, %","Промокод, %","Итоговая согласованная скидка, %",Цена розничная с учетом согласованной скидки,"Размер снижения кВВ из-за рейтинга, %","Размер изменения кВВ из-за акции, %","Скидка постоянного Покупателя (СПП), %","Размер кВВ, %","Размер кВВ без НДС, % Базовый","Итоговый кВВ без НДС, %","Вознаграждение с продаж до вычета услуг поверенного, без НДС",Возмещение за выдачу и возврат товаров на ПВЗ,Эквайринг/Комиссии за организацию платежей,"Размер комиссии за эквайринг/Комиссии за организацию платежей, %",Тип платежа за Эквайринг/Комиссии за организацию платежей,"Вознаграждение Вайлдберриз (ВВ), без НДС",НДС с Вознаграждения Вайлдберриз,К перечислению Продавцу за реализованный Товар,Количество доставок,Количество возврата,Услуги по доставке товара покупателю,Дата начала действия фиксации,Дата конца действия фиксации,Признак услуги платной доставки,Общая сумма штрафов,Корректировка Вознаграждения Вайлдберриз (ВВ),"Виды логистики, штрафов и корректировок ВВ",Стикер МП,Наименование банка-эквайера,Номер офиса,Наименование офиса доставки,ИНН партнера,Партнер,Склад,Страна,Тип коробов,Номер таможенной декларации,Номер сборочного задания,Код маркировки,ШК,Srid,Возмещение издержек по перевозке/по складским операциям с товаром,Организатор перевозки,Хранение,Удержания,Платная приемка,Фиксированный коэффициент склада по поставке,Признак продажи юридическому лицу,Номер короба для платной приемки,Скидка по программе софинансирования,"Скидка Wibes, %",Компенсация скидки по программе лояльности,Стоимость участия в программе лояльности,Сумма удержанная за начисленные баллы программы лояльности,Id корзины заказа
1,0,Лубриканты,282153150,Лаборатория Биоритм,id-31383-1277,Освежающий интимный гель Залюбись с холодком,0,2041804364835.0,,Логистика,2025-09-27,2025-10-13,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1,0,142.95,,,,0,0,К клиенту при продаже,42452364444.0,,113021.0,Кемеровская область Ленинск-Кузнецкий проспект Текстильщиков 15,,,Санкт-Петербург Уткина Заводь МП МП,Россия,,,3936660452.0,,42452364444.0,d1.c6b27291fba8433fa346f5fc3d87043d.0.0,0.0,,0.0,0,0,0,Нет,0.0,0,0,0,0,0,c6b27291fba8433fa346f5fc3d87043d
2,0,Лубриканты,282153150,Лаборатория Биоритм,id-31383-1277,Освежающий интимный гель Залюбись с холодком,0,2041804364835.0,Продажа,Продажа,2025-09-27,2025-10-13,1,384.0,244.0,0,0,0,384.0,0,0,30.38,33.55,23.33,-7.05,-9.31,7.397,7.32,3.0,Перевыставление эквайринга,-15.4725,-3.09,247.85,0,0,0.0,,,,0,0,,42452364444.0,Вайлдберриз Банк,113021.0,Кемеровская область Ленинск-Кузнецкий проспект Текстильщиков 15,,,Санкт-Петербург Уткина Заводь МП МП,Россия,,,3936660452.0,,42452364444.0,d1.c6b27291fba8433fa346f5fc3d87043d.0.0,0.0,,0.0,0,0,0,Нет,,0,0,0,0,0,c6b27291fba8433fa346f5fc3d87043d
3,0,Фаллоимитаторы,154905284,baile,id-11792-1277,Анальный мини-фаллос на присоске Penis,0,2037671220312.0,,Логистика,2025-10-01,2025-10-13,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1,0,125.84,,,,0,0,К клиенту при продаже,42662224259.0,,50000047.0,Чеченская Республика станица Николаевская улица Мира 21,,,Санкт-Петербург Уткина Заводь МП МП,Россия,,,3958135929.0,,42662224259.0,DW.rbea1c8c2285a46ba8b6bf3977c9d8136.0.0,0.0,,0.0,0,0,0,Нет,0.0,0,0,0,0,0,rbea1c8c2285a46ba8b6bf3977c9d8136
4,0,Фаллоимитаторы,154905284,baile,id-11792-1277,Анальный мини-фаллос на присоске Penis,0,2037671220312.0,Продажа,Продажа,2025-10-01,2025-10-13,1,743.0,565.0,0,0,0,743.0,0,0,19.96,33.55,23.33,3.37,59.4,12.104,2.26,0.4,Перевыставление эквайринга,49.31333333333333,9.86,491.46,0,0,0.0,,,,0,0,,42662224259.0,СберБанк,50000047.0,Чеченская Республика станица Николаевская улица Мира 21,,,Санкт-Петербург Уткина Заводь МП МП,Россия,,,3958135929.0,,42662224259.0,DW.rbea1c8c2285a46ba8b6bf3977c9d8136.0.0,0.0,,0.0,0,0,0,Нет,,0,0,0,0,0,rbea1c8c2285a46ba8b6bf3977c9d8136
5,0,Стэки эротик,266572894,SITABELLA,id-31219-1277,Коричневый стек с деревянной рукояткой Эко серия,0,2041357018773.0,,Логистика,2025-10-06,2025-10-13,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1,0,286.0,,,,0,0,К клиенту при продаже,42803447454.0,,318365.0,Ростовская область Ростов-на-Дону улица Ерёменко 114/1с2,,,Санкт-Петербург Уткина Заводь МП МП,Россия,,,3980802235.0,,42803447454.0,39271403114866730.0.0,0.0,,0.0,0,0,0,Нет,0.0,0,0,0,0,0,60542806_39271403114866730
